Kind,Name,File,CountOutput,CountPath,CountInput
Function,ajp_parse_reuse,ajp_header.c,4,5,12
Function,ajp_parse_type,ajp_header.c,4,2,11
Function,ajp_read_header,ajp_header.c,9,16,14
Function,ajp_send_data_msg,ajp_header.c,5,1,4
Function,ajp_send_header,ajp_header.c,6,7,15
Function,ajp_type_str,ajp_utils.c,1,10,6
Static Function,ajp_unmarshal_response,ajp_header.c,19,738,14
Static Function,alias_match,mod_proxy.c,2,74,3
Static Function,alias_matches,mod_alias.c,1,8,4
Static Function,all_check_authorization,mod_authz_core.c,1,2,2
Static Function,all_parse_config,mod_authz_core.c,3,3,2
Static Function,alloc_listener,listen.c,13,18,15
Static Function,alloc_outbuf,mod_sed.c,4,1,6
Static Function,alloc_reptr,sed0.c,12,3,6
Static Function,allow_cmd,mod_access_compat.c,12,11,11
Static Function,allowed_port,mod_proxy_connect.c,2,4,8
Static Function,am_allowmethods,mod_allowmethods.c,6,8,5
Static Function,am_check_access,mod_allowmethods.c,4,4,18
Static Function,am_create_conf,mod_allowmethods.c,5,1,2
Static Function,am_merge_conf,mod_allowmethods.c,4,2,6
Static Function,am_register_hooks,mod_allowmethods.c,1,1,1
Static Function,analyze_ct,mod_mime.c,17,3696,13
Static Function,anon_set_string_slots,mod_authn_anon.c,7,4,6
Function,ap_abort_on_oom,util.c,4,4,6
Function,ap_add_cgi_vars,util_script.c,10,36,17
Function,ap_add_common_vars,util_script.c,34,41600,35
Function,ap_add_file_conf,core.c,4,2,5
Function,ap_add_if_conf,core.c,5,14,10
Function,ap_add_input_filter,util_filter.c,2,1,14
Function,ap_add_input_filter_handle,util_filter.c,2,1,11
Function,ap_add_loaded_module,config.c,2,3,5
Function,ap_add_module,config.c,19,122,18
Static Function,ap_add_module_commands,config.c,10,4,7
Function,ap_add_node,util_cfgtree.c,7,6,5
Function,ap_add_output_filter,util_filter.c,2,1,21
Function,ap_add_output_filter_handle,util_filter.c,2,1,14
Function,ap_add_per_dir_conf,core.c,1,1,5
Static Function,ap_add_per_proxy_conf,mod_proxy.c,1,1,7
Function,ap_add_per_url_conf,core.c,1,1,5
Function,ap_add_version_component,core.c,5,3,6
Function,ap_allow_methods,http_request.c,4,4,3
Function,ap_allow_options,core.c,1,1,10
Function,ap_allow_overrides,core.c,1,1,3
Function,ap_allow_standard_methods,http_request.c,5,4,5
Function,ap_append_pid,util.c,3,1,7
Static Function,ap_apply_accept_filter,listen.c,4,6,7
Function,ap_args_to_table,util_script.c,4,1,3
Function,ap_array_str_contains,util.c,2,1,12
Function,ap_array_str_index,util.c,2,4,7
Function,ap_auth_name,core.c,2,2,14
Function,ap_auth_type,core.c,2,2,9
Static Function,ap_authn_cache_store,mod_authn_socache.c,8,18,24
Function,ap_basic_http_header,http_filters.c,2,1,2
Function,ap_bin2hex,util.c,1,2,8
Function,ap_bucket_eoc_create,eoc_bucket.c,8,1,4
Function,ap_bucket_eoc_make,eoc_bucket.c,6,1,3
Function,ap_bucket_eor_create,eor_bucket.c,9,2,6
Function,ap_bucket_eor_make,eor_bucket.c,5,1,5
Function,ap_bucket_error_create,error_bucket.c,8,2,9
Function,ap_bucket_error_make,error_bucket.c,7,1,7
